,question,answer,model_answer,true_ref_str,attribution,answer_f1,answer_prec,answer_recall,autoais_retrevied(model_answer),att_f1,att_prec,att_recall,autoais_true_answer,BLEU,ROUGHLS,BLEU_ANS,ROUGHLS_ANS,cos_sim,cos_sim_ans
0,"Hello, I forgot o update my address, can you help me with that?","hi, you have to report any change of address to DMV within 10 days after moving. You should do this both for the address associated with your license and all the addresses associated with all your vehicles.","Yes, I will.","you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ","Also , turning in your plates is important to avoid an insurance lapse.",0.0,0.0,0.0,it is not possible to tell,0.1304347826086956,0.2727272727272727,0.0857142857142857,no,0.0301052017424668,0.0095459343487004,0.1543909476981724,0.0347189497412106,0.583122,0.5285531
1,Can I do my DMV transactions online?,"Yes, you can sign up for MyDMV for all the online transactions needed.",No,Sign up or log into MyDMV [6 ] ,,0.0,0.0,0.0,no,0.0,0.0,0.0,yes,0.0,0.0,0.5,0.067544361420347,0.48576927,0.5141415
2,"Thanks, and in case I forget to bring all of the documentation needed to the DMV office, what can I do?",This happens often with our customers so that's why our website and MyDMV are so useful for our customers. Just check if you can make your transaction online so you don't have to go to the DMV Office.,Don't visit a DMV office at all,"About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test.",0.1395348837209302,0.5,0.081081081081081,yes,0.512396694214876,0.9117647058823528,0.3563218390804598,no,0.0104364028393805,0.0039309792682672,0.0661407835542225,0.0180965904944688,0.62231064,0.59917855
3,"Ok, and can you tell me again where should I report my new address?","Sure. Any change of address must be reported to the DMV, that's for the address associated with your license and any of your vehicles.",DMV,"you must report a change of address to DMV within ten days of moving.  That is the case for the address associated with your license, as well as all the addresses associated with each registered vehicle, which may differ. ","Many DMV customers make easily avoidable mistakes that cause them significant problems, including encounters with law enforcement and impounded vehicles.",0.0869565217391304,1.0,0.0454545454545454,yes,0.109090909090909,0.15,0.0857142857142857,yes,0.0148317531167772,0.0052938834957019,0.537284965911771,0.0954120756313892,0.578385,0.6281962
4,Can you tell me more about Traffic points and their cost?,"Traffic points is the system used by DMV to track dangerous drivers. The cost of the traffic points is independent of the DRA, so you get a separate charge based on the total points you accumulate.","DMV maintains a point system to track dangerous drivers. Often, motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate.","DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ","Often , motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate.",0.4657534246575341,0.3953488372093023,0.5666666666666667,yes,0.8571428571428571,0.9428571428571428,0.7857142857142857,yes,0.0094274335864821,0.0035994904073632,0.0076272946997332,0.0029904464445599,0.6044586,0.6051278
5,Will you keep me informed about when my insurance is about to lapse?,Yes. The New York State requires every motorist to maintain their insurance up to date so we at DMV make sure to inform you if you have any problem with your insurance.,Yes,"Because we all pay indirectly for crashes involving uninsured motorists ,  New York State requires every motorist to maintain auto insurance every single day a vehicle is registered.  DMV works with insurance companies to electronically monitor your insurance coverage , ",,0.0625,1.0,0.032258064516129,no,0.0,0.0,0.0,Yes,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
6,Is it needed that my address is always up to date with you guys?,"Yes, It is required. If not we won't be able to keep you informed about your insurance and we'll suspend your registration and license. You should make sure to turn in your vehicle's license plate before canceling your insurance policy",Yes,"you won t learn that you have an insurance problem ,  and we will suspend your registration and license.  Make sure you turn in your vehicle s license plates at DMV before you cancel your insurance policy. ",,0.048780487804878,1.0,0.025,no,0.0,0.0,0.0,no,0.0,0.0,0.537284965911771,0.0954120756313892,0.48576927,0.53991085
7,Can you tell me more about the traffic points and its cost?,"Yes. This is the system DM uses to keep a record of dangerous drivers. The cost of the DMV charge, that it's a separate charge from the DRA, depends on the total points you accumulate.","DMV maintains a point system to track dangerous drivers. Often, motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate.","DMV maintains a point system to track dangerous drivers.  motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate. ","Often , motorists convicted of a traffic ticket feel they have resolved all their motoring issues with the local court, but later learn that the Driver Responsibility Assessment DRA is a separate DMV charge based on the total points they accumulate.",0.4225352112676056,0.3488372093023256,0.5357142857142857,yes,0.8571428571428571,0.9428571428571428,0.7857142857142857,yes,0.0094274335864821,0.0035994904073632,0.0075606743919201,0.002964326506826,0.6044586,0.6051278
8,It's always a hassle to bring all the required documents to the DMV Office. Please tell me an alternative.,This happens quite often with our customers when they don't bring some of the necessary documents or requirements to complete their transactions. The best you can do is to check our website to see if you can do your transaction online so you don't have to go to the DMV Office.,"Don't visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. Our award - winning website is recognized as one of the best in the nation. It has all the answers you need to efficiently perform any DMV transaction. Consider signing up for our MyDMV service, which offers even more benefits. Sign up or log into MyDMV","About ten percent of customers visiting a DMV office do not bring what they need to complete their transaction, and have to come back a second time to finish their business.  This can be as simple as not bringing sufficient funds to pay for a license renewal or not having the proof of auto insurance required to register a car.  don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test. ","Better yet , don t visit a DMV office at all, and see if your transaction can be performed online, like an address change, registration renewal, license renewal, replacing a lost title, paying a DRA or scheduling a road test.",0.2809917355371901,0.2328767123287671,0.3541666666666667,yes,0.512396694214876,0.9117647058823528,0.3563218390804598,yes,0.0104364028393805,0.0039309792682672,0.0049878548620095,0.0020615353624486,0.62231064,0.6333298
9,"In case I have a problem with my insurance and your inquiry letter does not resolve the problem, what would happen.","In that case, we must suspend the vehicle registration and if the problem continues, your driver's license. More than 300,000 registrations a year are suspended due to failing to maintain insurance.",I would have to pay a fine and have my registration suspended.,"we must suspend the vehicle registration and ,  if it persists, your driver license!We suspend 300,000 registrations a year for failure to maintain insurance. ",Insurance policies must be from a company licensed in New York State.,0.2051282051282051,0.3636363636363636,0.1428571428571428,it is not possible to tell,0.125,0.1818181818181818,0.0952380952380952,it is not possible to tell,0.0305927083189816,0.0096547948834514,0.0353622226378874,0.0109619655923053,0.52008885,0.6049779
